delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,7,LA MISION,CALLE MISIÓN DE SANTO TOMÁS,,-100.8367113,20.5470934
OTROS DELITOS,CELAYA,2021,ENERO,7,LINDAVISTA,CALLE JAZMÍN,,-100.8243382,20.5454355
AMENAZAS,CELAYA,2021,ENERO,11,EL CARMEN,CALLE GENERAL IGNACIO ALLENDE,,-100.8143912,20.523184
OTROS DELITOS,CELAYA,2021,ENERO,8,NUEVO CELAYA,CALLE INGENIERO GUSTAVO CÁRDENAS NORIEGA,,-100.8400131,20.5335122
ROBOS DIVERSOS,CELAYA,2021,ENERO,7,VALLE HERMOSO,AVENIDA TECNOLÓGICO,SIN VIOLENCIA,-100.8208148,20.5424794
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2021,ENERO,8,ALAMEDA,CALLE GUADALUPE VICTORIA,,-100.8125696,20.5178873
OTROS DELITOS,CELAYA,2021,ENERO,8,LOS OLIVOS SEGUNDA SECCION,NO CATALOGADO,,-100.7703926,20.5466958
AMENAZAS,CELAYA,2021,ENERO,8,ZONA CENTRO,CALLE JOSÉ MARÍA MORELOS,,-100.8112885,20.5279612
OTROS DELITOS,CELAYA,2021,ENERO,7,REAL DEL CAMPESTRE,CALLE DE LA PURÍSIMA,,-100.79147,20.5145907
ROBO DE VEHÍCULO,CELAYA,2021,ENERO,9,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA,-100.8130637,20.5196199
ROBOS DIVERSOS,CELAYA,2021,ENERO,9,DEL BOSQUE,CALLE CORCHO,CON VIOLENCIA,-100.7994471,20.5040023
ROBO A CASA HABITACIÓN,CELAYA,2021,ENERO,9,LAGOS,PROLONGACIÓN MONTE TAURO,SIN VIOLENCIA,-100.8367625,20.5099213
AMENAZAS,CELAYA,2021,ENERO,10,JARDINES DE CELAYA 1 RA SECC,AVENIDA TRES GUERRAS,,-100.7897017,20.5149507
DAÑOS,CELAYA,2021,ENERO,9,LOS FRESNOS,NO CATALOGADO,,-97.47637329999999,26.0717438
OTROS DELITOS,CELAYA,2021,ENERO,9,RESIDENCIAL CAMPANARIO,AUTOPISTA DE PEAJE SALAMANCA-CELAYA,,-100.8351704,20.5592
HOMICIDIO DOLOSO,CELAYA,2021,ENERO,9,NO CATALOGADO,NO CATALOGADO,,-100.8212707,20.519439
ROBO A NEGOCIO,CELAYA,2021,ENERO,10,INDUSTRIAL,AVENIDA PONIENTE 2,CON VIOLENCIA,-100.8145523,20.5530748
ROBOS DIVERSOS,CELAYA,2021,ENERO,4,NO CATALOGADO,EJE NORTE ORIENTE,CON VIOLENCIA,-100.7818445,20.5497556
ROBO A NEGOCIO,CELAYA,2021,ENERO,4,LAGOS,CALLE PASEO DE SAN NICOLÁS DE PARRA,CON VIOLENCIA,-100.8334159,20.5075167
OTROS DELITOS,CELAYA,2021,ENERO,4,EMILIANO ZAPATA,CALLE HERIBERTO JARA,,-100.7994102,20.5414821
ROBOS DIVERSOS,CELAYA,2021,ENERO,4,GUADALUPE,CALLE QUINTANA ROO,SIN VIOLENCIA,-100.8112885,20.5279612
LESIONES DOLOSAS,CELAYA,2021,ENERO,4,LA AURORA,CALLE GALEANA,,-100.8273076,20.527098
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,4,CONSTIYUYENTES,2A. PROLONGACIÓN IGNACION ALLENDE,,-100.8136583,20.5206815
ROBO A NEGOCIO,CELAYA,2021,ENERO,4,ALAMOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,CON VIOLENCIA,-100.8319831,20.5540478
