delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,8,DE TIERRAS NEGRAS,CALLE FRANCISCO ZARCO,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,10,ALAMEDA,CALLE RÍO BRAVO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,9,LOPEZ PORTILLO,CALLE PATRICIO LEYVA,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,5,ZONA DE ORO,CALLE LUIS GONZÁLEZ OBREGÓN,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,8,RESIDENCIAL SANTA FE DE LOS NARANJOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,5,15 DE MAYO,CALLE GABRIELA MISTRAL,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,1,ZONA CENTRO,NO CATALOGADO,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,1,NO CATALOGADO,CALLE IGNACIO ALLENDE,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,4,NUEVA SANTA MARIA,PENSAMIENTO,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,INDUSTRIAL,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA
OTROS DELITOS SEXUALES,CELAYA,2020,FEBRERO,24,DEL BOSQUE,CALLE TAMARINDO,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,24,EMILIANO ZAPATA,AVENIDA TIERRA Y LIBERTAD,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,24,VILLA LOS ARCOS,VILLA DE LOS ARCOS,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,23,LA JOYITA,CARRETERA CELAYA-SALVATIERRA,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,1,LA CRUZ,CALLE JARDÍN PRINCIPAL,
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,20,HACIENDA DE MUÑIZ,CALLE PLAN DE CUERNAVACA,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,22,DE TIERRAS NEGRAS,CALLE MARIANO ABASOLO,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,22,SAN MARTIN DE CAMARGO,AUTOPISTA QUERÉTARO-CELAYA,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,19,LATINOAMERICANA,AVENIDA MÉXICO,SIN VIOLENCIA
ABUSO DE CONFIANZA,CELAYA,2020,FEBRERO,19,DE SANTO CRISTO,AVENIDA PROFESOR FRANCISCO JUÁREZ,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,20,VALLE DEL REAL,RUISEÑOR,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,20,PALMITA DE SAN GABRIEL,NO CATALOGADO,
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,18,SAN ANTONIO DE GALLARDO,CALLE DOLORES,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,19,EL DORADO,BOULEVARD ADOLFO LÓPEZ MATEOS,SIN VIOLENCIA
